eastwest,german,sex,age,agec,dg10,dg03,educ,isced97,iscd11,work,isco08,siops08,isei08,dw15,dw16,dw19c,dw03,mstat,dp01,di01a,di02a,incc,di01b,di02b,di05,di06,hhincc,dh01,dh11,aq01,gs01,gd01,gd02,dg13,dg08,dg09,dg11,ls01,id02,id01,im01,im17,im18,im19,im20,im21,iw04,pd11,pi07,pi01,pi02,lp03,lp04,lp05,lp06,hs01,hs04,hs05,hs06,hs07,hs09,land,bik,gkpol
1,1,1,68,4,2,4,3,5,5,4,NA,NA,NA,NA,NA,NA,2,5,2,NA,15,15,NA,NA,NA,15,15,2,NA,7,4,NA,NA,NA,NA,NA,NA,8,3,2,2,2,3,3,4,4,1,2,2,1,3,1,2,1,1,3,3,3,3,3,4,90,9,2
1,1,2,55,3,6,4,5,6,8,1,2310,78.16,85.41,50,NA,NA,NA,5,2,NA,21,21,NA,NA,NA,21,21,2,NA,4,1,2010,11,4,2,NA,1,9,4,4,2,3,2,4,3,3,1,1,2,1,2,2,2,2,2,1,4,5,2,3,5,60,10,7
2,1,1,31,2,13,1,5,5,5,1,NA,NA,NA,40,1,2,NA,5,2,3300,NA,19,NA,NA,3300,NA,19,2,NA,3,2,2018,3,4,NA,1,1,9,3,4,2,1,2,4,3,4,1,2,2,1,3,2,2,2,2,2,4,4,2,4,4,112,10,7
2,1,1,79,5,15,1,4,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,1600,NA,13,2100,NA,2100,NA,15,1,1,3,1,NA,NA,NA,NA,NA,NA,8,3,NA,2,2,2,3,3,4,2,2,2,1,3,1,2,1,1,3,5,5,1,3,5,140,10,7
2,1,1,62,4,17,1,3,5,5,4,NA,NA,NA,NA,NA,NA,2,5,2,NA,7,7,NA,13,NA,13,13,1,1,7,3,9000,62,NA,NA,1,1,5,5,1,NA,1,1,4,4,4,1,2,NA,1,3,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,160,2,2
1,1,2,67,4,8,4,3,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,8,8,NA,20,NA,20,20,1,1,4,1,NA,NA,NA,NA,NA,NA,8,3,3,2,1,2,3,2,3,1,1,2,1,3,1,2,2,2,2,2,2,3,3,2,50,10,7
1,NA,1,66,4,8,4,5,5,7,4,NA,NA,NA,NA,NA,NA,2,5,2,3300,NA,19,NA,NA,3300,NA,19,2,NA,7,3,2011,10,2,1,NA,1,8,4,3,NA,3,3,1,2,2,2,1,NA,1,2,1,2,1,1,2,NA,NA,NA,NA,NA,50,9,5
1,1,2,23,1,2,4,4,5,6,1,3412,49,52.72,39,1,NA,NA,5,2,1950,NA,14,NA,NA,1950,NA,14,2,NA,4,4,NA,NA,NA,NA,NA,NA,6,2,2,2,3,2,3,4,4,1,2,1,2,NA,1,2,1,NA,3,2,2,3,4,3,90,4,2
1,1,2,83,5,10,4,2,3,3,4,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7,1,1962,59,4,1,NA,2,9,5,3,1,3,3,2,2,2,2,1,1,1,2,2,2,2,2,2,2,3,3,3,5,80,10,6
1,1,2,62,4,1,4,3,3,3,2,9333,20.3,17.69,38,1,NA,NA,1,NA,NA,4,4,NA,17,NA,17,17,1,1,7,4,NA,NA,NA,NA,NA,NA,8,3,3,1,2,1,4,4,4,1,2,2,1,3,1,2,1,1,2,5,2,3,3,2,80,10,6
2,1,1,41,2,15,1,5,5,5,1,7115,36.76,26.62,50,NA,4,NA,5,1,NA,15,15,NA,20,NA,20,20,1,3,4,2,NA,NA,NA,NA,NA,NA,8,2,2,1,3,3,2,2,2,2,2,1,1,2,1,2,NA,2,2,2,3,4,2,5,140,9,3
2,1,2,57,3,95,NA,5,5,6,2,1321,64,65.42,25,1,NA,NA,1,NA,NA,NA,NA,NA,25,NA,25,25,1,1,6,1,NA,NA,NA,NA,NA,NA,10,4,2,1,3,3,2,2,2,2,1,1,1,2,2,2,2,2,1,3,4,2,2,5,140,10,7
2,1,1,22,1,15,1,5,3,3,3,NA,NA,NA,NA,NA,NA,1,5,1,NA,9,9,NA,19,NA,19,19,1,1,4,1,NA,NA,NA,NA,NA,NA,9,3,3,1,3,3,3,3,2,1,1,1,1,2,2,2,2,2,1,3,5,2,2,5,140,10,7
1,1,1,38,2,7,4,5,5,7,1,2512,51,74.66,43,1,NA,NA,5,1,3700,NA,20,5000,NA,5000,NA,23,1,3,7,4,2020,1,1,1,NA,1,7,4,4,NA,2,2,3,3,3,2,1,NA,1,3,2,1,1,2,1,NA,NA,NA,NA,NA,30,7,3
2,1,1,69,4,17,1,5,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,750,NA,7,1600,NA,1600,NA,13,1,1,7,3,9000,69,NA,NA,2,2,6,2,2,2,2,2,3,3,3,2,3,2,1,3,2,2,1,2,3,3,3,3,3,5,160,2,2
1,1,2,62,4,95,NA,2,2,2,1,3256,50,44.92,38.5,1,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1989,32,6,1,NA,2,NA,2,4,NA,2,2,2,2,3,1,1,NA,2,NA,1,2,1,1,5,NA,NA,NA,NA,NA,111,10,7
