respid,eastwest,german,sex,age,agec,dg10,dg03,educ,isced97,iscd11,work,isco08,siops08,isei08,dw15,dw16,dw19c,dw03,mstat,dp01,di01a,di02a,incc,di01b,di02b,di05,di06,hhincc,dh01,dh11,aq01,gs01,gd01,gd02,dg13,dg08,dg09,dg11,ls01,id02,id01,im01,im17,im18,im19,im20,im21,iw04,pd11,pi07,pi01,pi02,lp03,lp04,lp05,lp06,hs01,hs04,hs05,hs06,hs07,hs09,land,bik,gkpol
3888,1,2,2,44,2,6,4,NA,5,6,2,4110,42.09,43.33,25,1,NA,NA,1,NA,NA,15,15,NA,26,NA,26,26,1,2,5,3,2011,10,1,2,NA,1,10,4,3,NA,4,3,2,3,3,2,1,NA,2,NA,1,2,1,2,1,NA,NA,NA,NA,NA,60,10,4
3889,2,1,1,54,3,16,1,3,5,5,1,2221,54.05,68.7,40,1,NA,NA,1,NA,NA,19,19,NA,23,NA,23,23,1,1,7,3,9000,54,NA,NA,2,1,9,3,3,NA,3,3,3,2,3,2,1,NA,1,2,2,2,1,2,2,NA,NA,NA,NA,NA,150,4,3
3890,2,1,2,48,3,17,1,5,5,7,2,2330,62.63,82.41,30,1,NA,NA,1,NA,NA,15,15,NA,21,NA,21,21,1,3,7,3,9000,48,NA,NA,1,1,8,3,3,2,2,3,3,3,3,1,1,2,1,2,2,2,2,2,4,2,3,2,3,5,160,NA,5
3891,1,3,2,64,4,8,4,5,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,14,14,NA,15,NA,15,15,1,1,4,2,2019,2,1,2,NA,1,8,3,2,NA,1,1,2,4,3,1,1,NA,1,2,1,2,1,1,2,NA,NA,NA,NA,NA,50,9,5
3892,2,1,2,42,2,15,1,5,5,5,1,3221,44,56,60,1,NA,NA,5,1,2200,NA,15,4000,NA,4000,NA,21,1,2,4,4,2009,12,6,NA,1,2,8,3,2,NA,2,3,4,3,3,1,1,NA,1,2,1,2,2,1,3,NA,NA,NA,NA,NA,140,5,2
3893,2,1,2,82,5,13,1,1,3,3,4,NA,NA,NA,NA,NA,NA,2,3,2,NA,11,11,NA,14,NA,14,14,1,1,3,1,NA,NA,NA,NA,NA,NA,7,1,1,1,3,2,4,2,3,1,1,2,1,3,1,1,1,1,3,4,4,2,3,5,112,10,7
3894,1,1,2,48,3,7,4,3,3,3,2,3343,48.81,54.55,30,1,NA,NA,1,NA,NA,8,8,NA,17,NA,17,17,1,3,7,3,NA,NA,NA,NA,NA,NA,7,3,2,NA,NA,3,3,2,2,2,2,1,1,2,NA,2,2,NA,2,3,3,4,4,5,30,NA,4
3895,2,1,2,44,2,17,1,3,3,3,1,3353,54.64,54.27,39,1,NA,NA,5,1,NA,16,16,NA,20,NA,20,20,1,2,7,2,NA,NA,NA,NA,NA,NA,7,3,3,2,3,3,4,4,3,2,2,1,1,1,1,1,1,2,2,3,3,3,3,4,150,7,5
3896,1,1,1,44,2,8,4,4,5,7,1,3323,48.86,56.35,45,1,NA,NA,1,NA,5000,NA,23,6500,NA,6500,NA,24,1,3,7,3,NA,NA,NA,NA,NA,NA,9,4,3,2,3,3,2,2,2,2,1,2,1,3,2,2,2,2,1,2,4,2,3,5,60,9,3
3897,1,1,2,20,1,2,4,5,3,3,3,NA,NA,NA,NA,NA,NA,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,7,4,9000,20,NA,1,NA,1,9,4,4,NA,2,2,4,4,3,1,1,NA,1,3,1,1,2,2,1,NA,NA,NA,NA,NA,90,2,2
3898,1,1,1,31,2,6,4,4,4,4,1,3322,47,57.03,45,1,NA,NA,5,1,NA,17,17,NA,22,NA,22,22,1,1,4,3,2015,6,2,2,NA,1,7,4,3,2,3,4,3,3,4,1,2,1,1,1,1,2,1,2,3,2,3,3,3,5,60,4,3
3899,1,1,2,72,4,1,4,2,2,2,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,16,16,NA,20,NA,20,20,1,1,6,3,NA,NA,NA,NA,NA,NA,8,3,NA,1,2,2,2,2,1,2,1,2,2,NA,NA,NA,1,NA,3,4,3,2,2,3,60,10,3
3900,2,3,1,23,1,16,1,5,5,6,1,NA,NA,NA,26,3,NA,NA,5,2,NA,11,11,NA,NA,NA,11,11,2,NA,3,4,2020,1,5,NA,1,1,8,3,3,NA,3,3,4,2,3,1,1,NA,2,NA,2,2,2,2,3,NA,NA,NA,NA,NA,150,4,3
3901,1,1,2,72,4,1,4,5,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,12,12,NA,19,NA,19,19,1,1,4,1,NA,NA,NA,NA,NA,NA,7,3,2,2,2,2,4,3,4,1,2,2,1,3,1,2,1,NA,4,2,2,3,3,4,111,10,7
3902,2,1,1,77,5,16,1,5,4,4,4,NA,NA,NA,NA,NA,NA,2,1,NA,1650,NA,13,NA,17,NA,17,17,1,3,NA,4,1997,24,1,NA,2,2,7,3,3,NA,3,3,4,4,4,1,2,NA,1,3,1,2,1,2,2,NA,NA,NA,NA,NA,130,7,1
3903,2,1,2,33,2,16,1,3,3,3,2,5223,42.78,28.48,60,2,6,NA,5,2,NA,12,12,NA,14,NA,14,14,1,1,4,3,9000,33,NA,NA,2,2,4,3,3,2,2,4,2,3,4,1,2,2,1,3,1,1,1,1,1,2,3,5,4,2,150,8,6
3904,1,3,1,59,3,95,NA,5,6,8,1,2149,55,78.69,45,1,NA,NA,1,NA,NA,22,22,NA,23,NA,23,23,1,2,1,1,NA,NA,NA,NA,NA,NA,10,3,3,1,4,4,4,4,4,4,1,1,1,2,2,2,2,2,1,4,5,2,3,5,111,10,7
3905,2,1,2,42,2,15,1,5,4,4,1,3256,50,44.92,37.5,1,NA,NA,4,1,NA,14,14,NA,25,NA,25,25,1,3,7,4,NA,NA,NA,NA,NA,NA,8,4,3,1,4,3,3,3,2,2,1,1,1,2,2,2,2,1,2,3,4,2,3,5,140,NA,NA
3906,1,1,1,68,4,6,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,15,15,NA,19,NA,19,19,1,1,4,3,NA,NA,NA,NA,NA,NA,7,2,2,1,2,2,3,2,2,1,1,1,1,1,1,2,1,1,3,3,3,3,4,4,60,4,3
3907,1,1,2,27,1,11,4,5,5,7,1,2310,78.16,85.41,39,1,NA,NA,5,2,2400,NA,16,NA,NA,2400,NA,16,2,NA,4,3,2021,0,4,1,NA,1,7,3,4,2,3,3,4,4,3,1,2,2,1,3,1,2,2,1,2,2,2,3,3,3,10,9,4
3908,1,1,2,53,3,2,4,3,3,3,2,3254,57,59.85,18,1,5,NA,4,1,NA,6,6,NA,15,NA,15,15,1,1,7,5,2017,4,3,2,NA,NA,10,2,2,2,2,4,4,4,4,3,2,1,2,NA,1,1,1,1,NA,4,3,3,3,5,90,3,3
3909,1,3,1,41,2,95,NA,4,5,7,1,1120,64.51,70.34,70,NA,NA,NA,1,NA,NA,20,20,NA,23,NA,23,23,1,2,4,1,1987,34,1,2,NA,1,9,3,3,2,3,4,3,4,2,2,2,1,1,2,1,2,2,1,2,2,2,3,3,4,90,10,7
3910,1,1,2,69,4,1,4,3,2,2,4,NA,NA,NA,NA,NA,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,3,NA,NA,NA,NA,NA,NA,8,3,3,2,2,2,4,4,2,2,1,NA,1,2,1,NA,2,2,3,4,4,2,3,4,80,4,3
3911,2,3,2,61,4,95,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,2013,8,6,NA,NA,1,1,1,3,2,1,4,2,4,4,3,3,1,1,1,1,1,1,2,4,3,5,3,3,4,140,10,7
3912,1,1,2,73,4,7,4,5,6,8,2,2634,66,85.85,30,NA,NA,NA,1,NA,6000,NA,24,12000,NA,12000,NA,26,1,2,7,4,1976,45,5,2,NA,2,8,3,4,NA,2,2,3,3,3,2,2,NA,1,3,2,2,2,2,2,NA,NA,NA,NA,NA,60,4,3
3913,1,3,1,27,1,95,NA,NA,5,6,1,3212,54.58,57.37,39,1,6,NA,1,NA,1800,NA,14,NA,NA,NA,NA,NA,1,2,4,3,2019,2,4,2,NA,2,8,3,NA,NA,2,1,1,2,2,1,1,NA,2,NA,2,1,1,1,4,NA,NA,NA,NA,NA,30,7,5
3914,1,1,2,85,5,15,2,3,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,3,3,NA,21,NA,21,21,1,1,7,3,1972,49,1,2,NA,2,8,4,3,NA,2,3,2,2,2,2,1,NA,1,2,2,2,2,2,3,NA,NA,NA,NA,NA,80,7,3
3915,1,1,1,34,2,9,4,5,5,6,1,2511,51,74.66,50,1,NA,NA,1,NA,3000,NA,19,3800,NA,3800,NA,20,1,1,7,4,NA,NA,NA,NA,NA,NA,10,3,4,2,3,3,2,3,3,2,1,2,1,3,1,2,2,2,1,3,4,2,1,5,80,7,3
3916,1,1,2,82,5,7,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,3,1,NA,14,14,NA,NA,NA,NA,NA,1,1,7,3,1998,23,3,2,NA,2,10,3,3,NA,2,2,3,3,3,2,1,NA,1,3,2,1,1,2,3,NA,NA,NA,NA,NA,30,4,4
3917,1,1,1,50,3,8,4,3,5,5,1,3122,45.94,40.54,45.5,1,NA,NA,1,NA,NA,19,19,NA,21,NA,21,21,1,2,6,1,9000,50,NA,2,NA,2,8,3,4,2,2,3,3,3,3,2,2,2,1,3,1,2,1,2,2,3,4,2,3,5,50,8,6
3918,2,1,2,86,5,15,1,NA,3,3,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,5,NA,NA,1,1,1,2,2,3,1,1,2,1,3,1,2,1,1,3,5,4,2,3,5,140,NA,NA
3919,2,1,1,46,3,2,3,5,5,7,1,1439,47,51.01,50,1,NA,NA,1,NA,4250,NA,21,6700,NA,6700,NA,24,1,3,4,1,2020,1,6,NA,1,1,9,4,3,2,3,2,4,3,3,1,2,2,1,3,2,2,2,2,2,2,4,5,3,5,112,10,7
3920,1,1,1,57,3,1,4,2,3,3,1,6210,22.69,19.78,38.5,1,NA,NA,1,NA,NA,16,16,NA,24,NA,24,24,1,5,7,4,9000,57,NA,2,NA,2,8,2,3,NA,2,3,2,3,3,2,2,NA,1,2,1,1,1,2,3,NA,NA,NA,NA,NA,80,3,3
3921,1,1,1,63,4,11,4,2,3,3,1,8332,33,25.95,48,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7,3,NA,NA,NA,NA,NA,NA,8,3,3,1,2,3,2,1,2,1,1,1,1,2,1,2,1,1,3,4,4,3,4,5,10,4,3
3922,1,1,2,58,3,9,4,3,3,3,2,3256,50,44.92,28,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,7,4,NA,NA,NA,NA,NA,NA,8,2,2,2,2,2,2,2,3,1,2,1,1,3,1,1,1,1,2,3,4,3,3,4,70,4,1
3923,1,1,1,78,5,2,4,2,5,5,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,15,15,NA,17,NA,17,17,1,1,7,2,NA,NA,NA,NA,NA,NA,7,3,3,NA,2,2,4,4,3,2,2,2,1,3,1,2,1,1,2,3,4,2,2,3,90,10,7
3924,2,1,2,81,5,12,1,2,3,3,4,NA,NA,NA,NA,NA,NA,2,4,2,NA,11,11,NA,NA,NA,11,11,2,NA,4,3,9000,81,NA,NA,2,2,5,2,2,1,1,1,1,2,3,1,2,2,1,3,1,1,1,1,4,3,2,3,3,2,120,4,4
3925,1,1,2,77,5,6,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,3,2,NA,9,9,NA,NA,NA,9,9,2,NA,7,3,1954,67,2,2,NA,2,6,3,2,2,2,1,1,3,3,2,NA,2,1,3,1,1,1,1,4,NA,3,4,5,3,60,4,3
3926,2,1,1,59,3,13,1,5,5,7,1,NA,NA,NA,40,1,NA,NA,4,1,NA,20,20,NA,NA,NA,20,20,2,NA,4,1,1974,47,2,NA,2,1,8,3,2,NA,3,3,4,3,4,2,1,NA,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,120,7,6
3927,1,1,2,20,1,1,4,5,3,3,3,NA,NA,NA,NA,NA,NA,1,5,1,NA,7,7,NA,26,NA,26,26,1,2,7,3,NA,NA,NA,NA,NA,NA,8,4,3,2,3,4,2,2,2,1,2,2,1,2,2,1,NA,2,1,1,2,3,2,4,80,4,4
3928,1,1,2,NA,NA,7,4,5,5,7,2,3412,49,52.72,25,1,NA,NA,1,NA,NA,12,12,NA,NA,NA,NA,NA,1,2,7,2,2020,1,1,1,NA,1,9,4,3,1,3,3,3,2,2,1,1,2,1,2,1,2,1,2,2,2,3,3,2,3,30,9,5
3929,2,1,2,61,4,9,3,3,3,3,2,3334,49,62.39,38.5,NA,NA,NA,1,NA,NA,21,21,NA,23,NA,23,23,1,1,7,4,NA,NA,NA,NA,NA,NA,9,3,4,2,2,1,3,3,3,2,1,2,1,3,1,2,2,1,3,3,4,2,2,5,160,5,3
3930,1,1,2,26,1,8,4,5,4,4,3,NA,NA,NA,NA,NA,NA,1,5,1,600,NA,6,1400,NA,1400,NA,12,1,1,4,3,2018,3,2,2,NA,1,3,3,2,NA,2,2,4,4,3,1,2,NA,1,3,NA,1,NA,1,4,NA,NA,NA,NA,NA,50,8,6
3931,2,1,2,66,4,15,1,5,5,7,4,NA,NA,NA,NA,NA,NA,2,3,1,NA,14,14,NA,NA,NA,14,14,2,NA,7,4,9000,66,NA,NA,2,2,8,3,2,NA,2,1,3,3,3,1,2,NA,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,140,7,4
3932,2,1,2,31,2,16,1,5,5,6,2,3255,49.87,53.15,30,1,NA,NA,5,1,NA,13,13,NA,13,NA,13,13,1,1,7,3,9000,31,NA,NA,2,2,9,3,3,NA,3,3,3,2,3,1,1,NA,1,2,1,1,1,1,2,NA,NA,NA,NA,NA,150,7,5
3933,1,1,2,47,3,7,4,2,3,3,1,5223,42.78,28.48,47.5,1,NA,NA,5,2,NA,13,13,NA,NA,NA,NA,NA,NA,NA,4,3,9000,47,NA,2,NA,2,4,2,2,NA,2,1,2,2,2,1,1,2,1,3,1,1,1,1,3,2,2,4,2,3,30,5,3
3934,2,1,1,49,3,15,1,3,3,3,1,3113,46,51.92,40,1,NA,NA,5,2,2100,NA,15,NA,NA,2100,NA,15,2,NA,7,2,NA,NA,NA,NA,NA,NA,0,2,1,1,2,3,2,3,4,1,3,1,1,3,1,1,1,1,3,2,1,4,4,2,140,10,7
3935,1,1,2,31,2,8,4,5,6,8,4,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,22,NA,22,22,1,2,4,1,2015,6,3,2,NA,1,8,4,3,NA,3,1,4,4,4,1,1,NA,1,3,2,2,2,2,1,NA,NA,NA,NA,NA,50,10,7
3936,1,1,1,66,4,6,4,4,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,2000,NA,15,2000,NA,2000,NA,15,1,1,7,4,9000,66,NA,2,NA,2,9,3,3,NA,2,3,3,3,2,1,1,NA,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,60,4,3
3937,1,1,1,32,2,2,4,5,5,5,3,NA,NA,NA,NA,NA,NA,1,5,1,1450,NA,12,3200,NA,3200,NA,19,1,1,4,1,2008,13,2,2,NA,1,5,2,3,NA,3,2,3,4,4,2,2,NA,2,NA,2,1,2,1,3,NA,NA,NA,NA,NA,90,10,7
3938,2,1,2,48,3,1,3,5,5,5,2,3255,49.87,53.15,20,1,NA,NA,1,NA,NA,6,6,NA,23,NA,23,23,1,2,4,3,2006,15,6,NA,1,1,10,4,3,1,3,1,3,3,2,1,1,2,1,2,2,2,2,2,1,3,4,2,3,5,160,8,6
3939,1,1,1,44,2,2,4,2,3,3,1,4312,34,57.38,41,1,NA,NA,5,2,NA,14,14,NA,NA,NA,14,14,2,NA,3,1,2001,20,2,1,NA,1,7,2,3,1,3,2,3,2,2,1,1,2,1,3,2,2,1,2,1,3,3,2,2,3,90,10,7
3940,1,1,2,43,2,2,4,3,3,3,4,NA,NA,NA,NA,NA,NA,2,5,2,NA,3,3,NA,NA,NA,3,3,2,NA,7,4,NA,NA,NA,NA,NA,NA,4,1,1,2,1,1,2,3,4,1,3,1,1,3,1,1,1,1,4,3,2,4,5,3,90,9,2
3941,1,1,1,43,2,14,2,3,5,7,1,2411,58.45,76.65,55,3,NA,NA,1,NA,1900,NA,14,4000,NA,4000,NA,21,1,1,7,2,2015,6,1,2,NA,2,2,2,2,2,2,3,2,3,3,2,2,1,2,NA,1,2,1,1,3,2,2,4,4,3,10,10,4
3942,2,1,1,72,4,12,1,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,8,8,NA,14,NA,14,14,1,1,7,4,9000,72,NA,NA,1,2,10,1,1,1,1,2,4,1,4,1,3,1,1,3,1,1,1,1,5,3,2,5,5,2,120,9,4
3943,1,1,2,44,2,10,4,3,3,3,4,NA,NA,NA,NA,NA,NA,6,5,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,1977,44,1,2,NA,1,3,NA,1,NA,1,1,4,3,4,1,2,NA,1,3,1,1,1,2,5,NA,NA,NA,NA,NA,100,8,6
3944,1,1,1,NA,NA,7,4,2,3,3,1,7233,42.17,31.72,40,1,NA,NA,1,NA,NA,14,14,NA,20,NA,20,20,1,3,7,4,9000,NA,NA,2,NA,2,8,3,3,2,2,2,3,2,3,1,2,2,2,NA,1,2,1,1,1,3,5,1,3,5,30,5,3
3945,1,1,1,61,4,1,4,2,3,3,3,NA,NA,NA,NA,NA,NA,2,1,NA,NA,15,15,NA,19,NA,19,19,1,1,7,3,1989,32,2,2,NA,2,8,3,3,NA,1,4,3,3,3,2,2,NA,1,2,1,2,1,1,3,NA,NA,NA,NA,NA,80,7,3
3946,1,1,1,63,4,2,4,2,3,3,1,7411,44.01,36.35,39,1,NA,NA,1,NA,NA,15,15,NA,18,NA,18,18,1,2,7,4,NA,NA,NA,NA,NA,NA,7,3,NA,1,3,3,2,3,2,3,1,1,1,1,2,2,1,1,3,3,4,3,2,5,90,4,3
3947,1,1,2,26,1,1,4,5,5,6,1,NA,NA,NA,NA,1,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,3,9000,26,NA,NA,NA,1,6,3,NA,NA,3,4,4,2,2,1,1,NA,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,80,7,3
3948,2,1,1,40,2,12,1,5,5,7,1,3411,54.17,57,40,1,NA,NA,1,NA,NA,17,17,NA,24,NA,24,24,1,4,7,2,NA,NA,NA,NA,NA,NA,1,3,3,1,3,2,4,4,3,1,1,2,1,3,2,2,2,1,2,3,5,3,3,5,120,9,4
3949,1,1,2,56,3,6,4,3,3,3,2,3221,44,56,31.5,1,NA,NA,1,NA,NA,13,13,NA,NA,NA,NA,NA,1,1,7,2,NA,NA,NA,NA,NA,NA,4,3,2,2,2,3,2,3,4,2,2,1,1,2,1,1,1,1,3,1,2,3,3,3,50,10,6
3950,1,1,2,53,3,8,4,5,4,4,1,2166,63.19,79.74,38,NA,NA,NA,1,NA,NA,12,12,NA,23,NA,23,23,1,1,7,3,2008,13,1,2,NA,1,9,3,4,2,3,2,4,4,4,2,2,2,1,3,1,1,1,2,1,4,4,1,2,4,50,10,4
3951,1,1,1,NA,NA,1,4,5,5,6,2,1221,52,71.39,26,1,3,NA,5,2,NA,13,13,NA,21,NA,21,21,1,3,7,4,2000,21,1,2,NA,2,10,3,3,NA,3,4,1,2,2,2,1,NA,2,NA,1,2,1,1,1,NA,NA,NA,NA,NA,80,8,5
3952,1,1,2,51,3,16,2,NA,NA,NA,2,5223,42.78,28.48,30,1,NA,NA,1,NA,NA,14,14,NA,22,NA,22,22,1,1,7,4,2005,16,2,1,NA,2,2,3,3,2,3,3,1,1,2,2,1,1,1,2,2,1,1,1,1,3,4,2,2,5,80,3,3
3953,1,1,1,76,5,2,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,13,13,NA,19,NA,19,19,1,1,3,2,1968,53,1,2,NA,2,8,2,3,1,3,3,2,2,3,1,1,1,1,2,1,2,1,2,2,3,4,2,3,5,90,10,7
3954,2,1,1,83,5,11,3,2,5,5,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,13,13,NA,17,NA,17,17,1,1,1,3,1968,53,1,NA,2,2,9,3,3,2,2,3,3,2,3,1,2,2,1,3,1,2,1,1,3,5,4,2,3,5,130,4,4
3955,1,1,2,33,2,8,4,5,5,7,1,2330,62.63,82.41,35,1,NA,NA,1,NA,NA,19,19,NA,24,NA,24,24,1,1,7,3,2020,1,1,1,NA,2,8,4,3,1,3,2,3,4,4,2,2,2,1,3,1,2,1,2,1,4,3,2,3,5,50,8,6
3956,2,1,1,58,3,16,1,3,3,3,4,NA,NA,NA,NA,NA,NA,3,1,NA,NA,4,4,NA,8,NA,8,8,1,1,3,3,NA,NA,NA,NA,NA,NA,4,1,2,1,2,2,3,3,3,1,2,2,1,3,1,2,1,1,4,4,3,3,4,4,150,3,3
3957,1,1,2,43,2,1,4,5,5,7,2,2212,78.01,81.92,32,NA,NA,NA,1,NA,4000,NA,21,8000,NA,8000,NA,25,1,3,5,2,2014,7,6,2,NA,2,7,4,3,NA,1,3,2,3,3,2,1,NA,1,2,1,2,1,2,1,NA,NA,NA,NA,NA,80,10,6
3958,1,1,2,68,4,2,4,3,2,2,3,NA,NA,NA,NA,NA,NA,2,1,NA,2400,NA,16,2400,NA,2400,NA,16,1,NA,7,5,1976,45,1,2,NA,2,9,3,3,1,3,2,3,3,2,1,2,2,1,2,2,2,1,2,3,4,5,2,2,3,90,3,3
3959,1,1,1,49,3,8,4,2,5,5,1,3123,45.94,37.83,39,1,NA,NA,1,NA,NA,17,17,NA,20,NA,20,20,1,3,4,1,9000,49,NA,1,NA,2,7,3,3,NA,4,3,3,2,3,3,1,NA,1,1,1,1,2,1,2,NA,NA,NA,NA,NA,50,10,7
3960,1,1,2,27,1,8,4,4,5,6,1,5312,50,24.98,42.5,1,3,NA,5,2,2000,NA,15,NA,NA,2000,NA,15,2,NA,4,NA,2020,1,1,1,NA,1,3,3,2,NA,4,3,4,4,4,2,2,NA,1,2,2,2,2,2,4,NA,NA,NA,NA,NA,50,10,7
3961,2,1,2,52,3,15,1,4,5,5,2,3412,49,52.72,30,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,4,1990,31,1,NA,2,2,8,3,2,1,2,2,3,4,3,1,1,1,2,NA,1,2,1,2,2,2,3,2,3,5,140,5,2
3962,2,1,2,74,4,12,1,5,5,7,4,NA,NA,NA,NA,NA,NA,2,3,1,NA,15,15,NA,NA,NA,15,15,2,NA,3,1,NA,NA,NA,NA,NA,NA,8,3,2,1,1,2,4,4,4,1,2,2,1,3,2,2,2,2,3,4,3,2,3,3,120,7,6
3963,1,3,1,29,1,95,NA,3,5,5,1,7411,44.01,36.35,48,2,5,NA,5,1,2100,NA,15,NA,NA,NA,NA,NA,1,1,1,1,2018,3,6,2,NA,1,8,2,2,1,3,2,4,1,3,1,2,1,2,NA,1,1,1,2,2,3,4,3,3,4,90,10,7
3964,1,1,2,79,5,4,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2,3,2,NA,2,2,NA,NA,NA,2,2,2,NA,6,4,1994,27,1,1,NA,1,8,2,2,1,2,2,3,2,3,2,2,1,1,2,2,2,1,1,4,3,4,2,2,NA,80,5,3
3965,2,1,1,40,2,13,1,5,5,7,1,2330,62.63,82.41,41,1,NA,NA,1,NA,4500,NA,22,5500,NA,5500,NA,23,1,4,6,3,9000,40,NA,NA,1,2,8,4,3,2,2,3,3,3,4,1,2,2,1,3,1,2,2,1,1,2,3,3,2,5,120,9,4
3966,1,1,2,66,4,9,4,5,5,7,3,NA,NA,NA,NA,NA,NA,2,1,NA,NA,6,6,NA,21,NA,21,21,1,1,7,3,NA,NA,NA,NA,NA,NA,8,3,3,1,3,3,2,3,3,1,2,2,1,2,2,2,2,2,3,4,4,2,3,5,30,4,4
3967,1,1,1,43,2,8,4,3,3,3,1,2320,57,72.3,45,1,4,NA,1,NA,NA,14,14,NA,21,NA,21,21,1,4,5,3,2012,9,2,2,NA,1,7,3,2,1,3,3,2,1,2,1,1,1,1,1,2,2,2,2,2,2,5,4,3,5,50,7,3
3968,1,3,1,50,3,8,4,2,5,5,1,7411,44.01,36.35,40,1,NA,NA,2,1,NA,16,16,NA,19,NA,19,19,1,2,1,3,NA,NA,NA,NA,NA,NA,9,2,2,2,2,3,3,3,3,2,2,1,1,1,1,2,1,1,3,2,2,4,3,1,50,4,4
3969,2,1,1,54,3,12,1,4,5,7,1,2421,55.8,70.09,45,1,NA,NA,1,NA,NA,21,21,NA,23,NA,23,23,1,1,7,4,2011,10,5,NA,1,NA,NA,4,3,1,4,3,2,4,2,2,1,2,1,2,1,2,1,2,2,2,3,2,2,5,130,3,1
3970,2,1,1,41,2,15,1,3,3,3,4,NA,NA,NA,NA,NA,NA,2,5,2,NA,3,3,NA,11,NA,11,11,1,2,3,3,9000,41,NA,NA,2,2,NA,3,2,NA,1,1,1,3,4,1,2,NA,1,3,1,1,1,1,4,NA,NA,NA,NA,NA,140,5,3
3971,2,1,1,81,5,15,1,NA,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,9,9,NA,15,NA,15,15,1,1,7,4,NA,NA,NA,NA,NA,NA,9,3,1,2,2,2,3,2,3,1,2,2,1,1,1,1,1,1,3,2,2,2,3,3,140,NA,NA
3972,1,1,2,63,4,9,4,5,5,7,4,NA,NA,NA,NA,NA,NA,2,5,1,1550,NA,13,NA,NA,1550,NA,13,2,NA,6,3,NA,NA,NA,NA,NA,NA,9,4,3,2,3,3,NA,3,3,2,1,1,1,2,2,2,2,2,3,4,4,2,3,3,70,8,3
3973,1,1,1,54,3,5,4,5,4,4,1,1211,49,73.38,50,1,NA,NA,1,NA,NA,24,24,NA,25,NA,25,25,1,2,7,4,NA,NA,NA,NA,NA,NA,8,4,2,2,3,3,2,2,2,2,1,1,1,2,2,2,1,2,2,3,4,2,2,5,30,7,3
3974,1,1,2,23,1,8,4,5,3,3,3,NA,NA,NA,NA,NA,NA,1,5,1,NA,3,3,NA,18,NA,18,18,1,2,7,1,1998,23,6,2,NA,1,8,4,1,1,2,3,3,3,2,2,1,1,1,2,NA,2,1,1,2,3,4,2,2,5,50,10,6
3975,1,1,2,71,4,4,4,3,3,3,4,NA,NA,NA,NA,NA,NA,2,4,2,NA,9,9,NA,NA,NA,9,9,2,NA,4,2,NA,NA,NA,NA,NA,NA,6,3,2,1,2,2,3,2,3,1,1,2,1,3,NA,1,1,1,3,2,3,4,3,2,10,10,4
3976,1,1,1,28,1,7,4,5,5,7,1,7223,37.87,28.7,40,1,NA,NA,5,2,2400,NA,16,NA,19,NA,19,19,1,4,5,2,NA,NA,NA,NA,NA,NA,3,3,2,2,2,3,2,3,3,1,2,NA,2,NA,1,2,1,2,2,3,2,4,3,1,30,10,7
3977,1,1,1,68,4,2,4,3,5,5,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,19,19,NA,23,NA,23,23,1,1,5,3,NA,NA,NA,NA,NA,NA,7,NA,NA,1,3,3,3,3,3,3,2,1,1,2,2,1,1,NA,3,4,4,2,2,5,90,5,3
