respid,eastwest,german,sex,age,agec,dg10,dg03,educ,isced97,iscd11,work,isco08,siops08,isei08,dw15,dw16,dw19c,dw03,mstat,dp01,di01a,di02a,incc,di01b,di02b,di05,di06,hhincc,dh01,dh11,aq01,gs01,gd01,gd02,dg13,dg08,dg09,dg11,ls01,id02,id01,im01,im17,im18,im19,im20,im21,iw04,pd11,pi07,pi01,pi02,lp03,lp04,lp05,lp06,hs01,hs04,hs05,hs06,hs07,hs09,land,bik,gkpol
2063,1,1,2,68,4,8,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,10,10,NA,15,NA,15,15,1,1,6,1,NA,NA,NA,NA,NA,NA,3,1,1,2,1,2,4,4,4,2,3,2,1,3,1,2,1,1,4,2,2,3,3,3,50,10,7
2064,1,1,2,78,5,8,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,3,2,NA,14,14,NA,NA,NA,14,14,2,NA,4,1,NA,NA,NA,NA,NA,NA,8,3,3,NA,2,2,1,3,3,1,1,2,1,2,1,1,1,1,3,4,4,3,2,4,50,10,7
2065,2,1,1,58,3,15,1,3,3,3,3,NA,NA,NA,NA,NA,NA,3,5,2,NA,4,4,NA,NA,NA,4,4,2,NA,4,4,9000,58,NA,NA,2,2,7,1,2,1,2,4,3,2,3,1,2,2,1,3,1,2,1,1,5,3,3,2,4,4,140,9,3
2066,2,1,2,82,5,15,1,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,9,9,NA,NA,NA,9,9,2,NA,1,3,1962,59,2,NA,2,2,7,2,3,NA,3,2,3,4,3,1,1,NA,1,2,1,2,2,1,3,NA,NA,NA,NA,NA,140,5,3
2067,2,1,2,73,4,15,1,3,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,13,13,NA,19,NA,19,19,1,1,3,3,NA,NA,NA,NA,NA,NA,9,3,3,2,1,3,2,2,3,1,1,1,1,2,1,1,1,1,2,5,5,1,2,5,140,9,3
2068,1,2,2,68,4,95,NA,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,7,7,NA,11,NA,11,11,1,1,3,3,1996,25,NA,2,NA,2,7,2,3,2,1,3,1,1,2,1,2,2,1,3,1,1,1,1,3,3,4,2,3,5,90,8,5
2069,1,1,2,64,4,8,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,970,NA,8,2400,NA,2400,NA,16,1,1,7,3,NA,NA,NA,NA,NA,NA,10,NA,3,1,2,4,3,2,3,2,2,1,1,2,2,2,2,2,4,1,2,3,3,5,50,8,6
2070,1,1,2,33,2,8,4,5,5,7,2,2320,57,72.3,24,NA,NA,NA,5,1,1000,NA,9,6000,NA,6000,NA,24,1,3,7,4,9000,33,NA,2,NA,1,4,3,2,NA,2,2,3,2,3,1,1,NA,2,NA,1,1,1,1,1,NA,NA,NA,NA,NA,50,10,7
2071,1,1,1,68,4,5,4,4,4,4,3,NA,NA,NA,NA,NA,NA,2,1,NA,NA,17,17,NA,22,NA,22,22,1,1,7,2,1979,42,1,1,NA,2,10,3,3,1,2,1,3,2,3,1,1,2,1,3,1,2,2,2,3,3,5,2,2,5,10,9,4
2072,1,1,2,50,3,10,4,2,3,3,2,5223,42.78,28.48,18,1,2,NA,1,NA,NA,6,6,NA,21,NA,21,21,1,1,7,4,2017,4,4,2,NA,2,10,3,3,NA,3,3,2,3,3,2,1,NA,2,NA,2,2,2,2,2,NA,NA,NA,NA,NA,50,7,3
2073,1,1,1,45,3,1,4,2,3,3,1,3412,49,52.72,40,1,NA,NA,4,2,NA,15,15,NA,NA,NA,15,15,2,NA,4,4,1997,24,1,1,NA,1,7,2,2,NA,3,3,2,2,4,2,2,NA,1,3,1,2,1,1,3,NA,NA,NA,NA,NA,80,4,4
2074,1,3,2,24,1,95,NA,7,NA,NA,4,NA,NA,NA,NA,NA,NA,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,3,NA,NA,NA,NA,NA,NA,4,3,2,NA,3,2,2,2,3,2,3,1,2,NA,2,1,1,1,2,2,5,3,4,2,30,8,6
2075,2,1,1,65,4,15,1,3,5,5,3,NA,NA,NA,NA,NA,NA,2,1,NA,1700,NA,13,NA,20,NA,20,20,1,1,1,2,9000,65,NA,NA,2,2,9,3,3,1,2,2,2,3,3,2,2,2,1,3,2,2,2,2,2,4,4,2,2,3,140,10,7
2076,1,1,2,40,2,8,4,5,5,7,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,15,15,NA,21,NA,21,21,1,2,7,4,2010,11,1,2,NA,2,8,3,3,1,4,4,1,1,1,1,1,1,1,2,2,2,2,1,2,2,4,2,3,5,50,4,4
2077,1,1,2,28,1,1,4,3,3,3,1,4110,42.09,43.33,40,1,NA,NA,5,1,NA,14,14,NA,NA,NA,NA,NA,1,1,1,4,9000,28,NA,2,NA,1,8,2,2,1,3,4,2,2,4,1,2,1,2,NA,1,1,1,1,2,2,2,4,5,5,80,3,3
