respid,age,sex,wohnort,isced97,work,dw15,mstat,hhincc,hs04_r,hs06,hs07,hs05_r,hs09_r,distress,im17_r,im18_r,im19_r,im20_r,im21_r,soz.u,soz.u_na,soz.u_rmt,distress_na,distress_rmt
976,58,1,Rural,5,1,50,4,22,2,2,2,1,1,8,2,2,3,3,3,13,13,13,8,8
977,76,1,Rural,5,4,NA,1,15,3,2,2,2,1,10,3,4,3,3,3,16,16,16,10,10
978,39,2,Urban,5,1,45,4,16,3,2,2,3,1,11,3,3,2,2,3,13,13,13,11,11
979,61,2,Rural,5,2,30,5,15,4,3,3,3,2,15,3,1,2,4,2,12,12,12,15,15
981,71,2,Urban,3,4,NA,3,7,3,3,4,3,3,16,4,1,3,3,3,14,14,14,16,16
982,74,2,Urban,3,4,NA,NA,5,1,3,4,2,4,14,3,4,4,2,1,14,14,14,14,14
984,70,2,Urban,5,4,NA,4,17,2,2,3,3,2,12,4,3,2,2,2,13,13,13,12,12
985,32,2,Urban,4,1,39.5,5,17,4,2,1,2,4,13,2,3,2,2,2,11,11,11,13,13
986,62,1,Rural,6,4,NA,1,NA,1,1,2,1,1,6,3,2,2,3,2,12,12,12,6,6
988,79,1,Urban,3,4,NA,1,16,2,2,2,2,1,9,4,2,1,1,1,9,9,9,9,9
992,50,1,Rural,3,1,35,1,18,4,4,4,4,1,17,3,2,2,2,2,11,11,11,17,17
993,69,2,Rural,3,4,NA,3,12,3,3,3,4,4,17,2,4,3,2,1,12,12,12,17,17
994,70,1,Rural,3,4,NA,1,11,3,2,3,2,2,12,4,2,3,2,3,14,14,14,12,12
995,46,1,Urban,5,1,55,5,20,3,2,2,2,1,10,2,3,3,3,3,14,14,14,10,10
997,28,1,Urban,5,4,NA,5,14,2,2,2,3,1,10,2,3,1,1,1,8,8,8,10,10
998,28,1,Urban,5,1,42.5,5,19,4,3,3,2,2,14,2,1,3,1,2,9,9,9,14,14
999,79,2,Rural,5,4,NA,3,15,1,2,2,3,3,11,3,2,3,3,3,14,14,14,11,11
1005,64,2,Urban,5,4,NA,1,21,3,3,3,3,3,15,2,2,2,2,2,10,10,10,15,15
